rank,uid,username,type
1,766347,Upanチョコ,总督
2,532705928,八木百货社长,提督
3,3694282,席雨迎新,提督
4,3099340,Piero菌,提督
5,31102765,一只普通的土豆片,提督
6,186388,美琴丶,提督
7,44996638,人生哒呦,提督
8,499403795,白-小灰灰,舰长
9,9113499,天下の宗一郎,舰长
10,10060958,缥凌,舰长
11,3797081,万般皆命-Inochi,舰长
12,3001757,亞鼎Akanae,舰长
13,337515,Blackの黑土,舰长
14,492045,飘渺之雲,舰长
15,341979543,万年鸽妖,舰长
16,1757179,黑猫家的黑咪,舰长
17,20029293,参议院的震荡波,舰长
18,23740116,东方的西瓜,舰长
19,4332144,社畜老墨,舰长
20,18075705,夜然z,舰长
21,79138148,宽油彭膨芃,舰长
22,319985534,慕澪萨满,舰长
23,2605990,雁归归归归,舰长
24,53390742,肆叁该摸了,舰长
25,561780,理科卷卷卷子,舰长
26,14160235,伊卡呦,舰长
27,303387,蕾欧诺菈,舰长
28,296574,Nz兔子,舰长
29,298134792,崩坏的栗子_108番,舰长
30,2592337,活野猪,舰长
31,98844,眠鳥春告,舰长
32,381741167,炽莨Bryant,舰长
33,1833082,方法放寒假,舰长
34,15998465,位面之碎,舰长
35,12310907,美味的包包,舰长
36,2089736,巫马白,舰长
37,3638173,苏菲的移动城堡,舰长
38,21411177,喵喵喵小薇,舰长
39,1428441528,阿买official,舰长
40,23985,黒猫サクヤ,舰长
41,6589249,drjjj,舰长
42,216635116,燃尽千夜的小羽毛,舰长
43,351667336,只好乱写名字,舰长
44,437880151,狂気のMad_Scientist,舰长
45,3806661,冥夜墨雪,舰长
46,14650166,败树_Official,舰长
47,1895012471,蕡实Astre,舰长
48,20193099,紫雨傲雪,舰长
49,346120860,有只CC,舰长
50,3758265,北方栖宅,舰长
51,11139137,魇燎,舰长
52,2466201,那朵花未绽放,舰长
53,3494357252442916,RO姬_Official,舰长
54,768023,提督才是本子王,舰长
55,3493144620435623,相星澪_Channel,舰长
56,59701239,孤狼群豺,舰长
57,479612904,无形之名,舰长
58,478193220,冬瓜酱dayo,舰长
59,409792951,紫川ャ,舰长
60,11866511,顾筱贱,舰长
61,2784594,三文鱼今天撑得吐泡泡,舰长
62,700424407,爱零贰的万星597-,舰长
63,22977747,很难受的夹子,舰长
64,204305428,小肥紫还是小肥柴zZ,舰长
65,5002655,龙猫小小_Mia,舰长
66,1581983529,鬼鲨l,舰长
67,435267350,SIn7023,舰长
68,153861392,燃余の灰烬,舰长
69,34188791,frysta,舰长
